recruitment_seq,address_seq1,address_seq2,address_seq3,career_end,career_start,education,major_task,qualifications,text_keyword,check_box_keyword_cnt,company_type_seq,supply_kind,employee,company_size,recruit_code
R00001,5.0,0.0,0.0,0,0,2,2,1,1,7,5.0,201.0,631.0,2,0
R00002,3.0,0.0,0.0,0,0,3,2,1,1,3,2.0,201.0,160.0,3,3
R00003,3.0,0.0,0.0,0,0,3,2,2,1,4,0.0,0.0,0.0,4,0
R00004,3.0,0.0,0.0,0,0,3,2,1,1,2,2.0,402.0,500.0,2,3
R00005,3.0,0.0,0.0,0,0,3,2,1,1,2,0.0,0.0,0.0,4,3
R00006,3.0,0.0,0.0,0,0,4,2,2,1,5,0.0,0.0,0.0,4,0
R00007,3.0,0.0,0.0,0,0,3,2,1,1,4,0.0,0.0,0.0,4,4
R00008,3.0,0.0,0.0,0,0,3,2,1,8,5,0.0,0.0,0.0,4,0
R00009,3.0,0.0,0.0,0,0,2,8,1,1,2,2.0,402.0,41.0,1,3
R00010,3.0,0.0,0.0,0,0,3,2,1,1,4,0.0,0.0,0.0,4,0
R00011,3.0,0.0,0.0,0,0,3,7,1,1,4,2.0,100.0,200.0,3,0
R00012,3.0,0.0,0.0,0,0,3,2,2,0,4,2.0,402.0,500.0,2,0
R00013,3.0,0.0,0.0,0,0,3,2,1,1,4,2.0,514.0,20.0,1,0
R00014,3.0,0.0,0.0,0,0,2,2,2,1,4,0.0,0.0,0.0,4,4
R00015,3.0,0.0,0.0,0,0,4,2,2,1,3,2.0,402.0,590.0,2,1
R00016,3.0,0.0,0.0,0,0,4,2,1,1,7,0.0,0.0,0.0,4,0
R00017,3.0,0.0,0.0,0,0,4,2,1,1,4,0.0,0.0,0.0,4,4
R00018,3.0,0.0,0.0,0,0,2,2,2,1,4,0.0,0.0,0.0,4,0
R00019,3.0,0.0,0.0,0,0,2,2,1,1,5,0.0,0.0,0.0,4,1
R00020,3.0,0.0,0.0,0,0,3,2,1,1,2,2.0,402.0,90.0,3,3
R00021,3.0,0.0,0.0,0,0,2,8,1,0,4,2.0,402.0,590.0,2,0
R00022,3.0,0.0,0.0,0,0,2,2,2,1,2,0.0,0.0,0.0,4,3
R00023,3.0,0.0,0.0,0,0,3,2,1,1,2,4.0,402.0,525.0,2,2
R00024,3.0,0.0,0.0,0,0,4,8,1,1,2,2.0,402.0,590.0,2,3
R00025,3.0,0.0,0.0,0,0,4,2,2,1,8,2.0,402.0,310.0,2,0
R00026,3.0,0.0,0.0,0,0,3,2,2,1,3,4.0,402.0,150.0,3,2
R00027,3.0,0.0,0.0,0,0,2,2,1,1,8,0.0,0.0,0.0,4,0
R00028,3.0,0.0,0.0,0,0,3,2,2,1,8,0.0,0.0,0.0,4,0
R00029,3.0,0.0,0.0,0,0,2,2,2,1,9,0.0,0.0,0.0,4,0
R00030,3.0,0.0,0.0,0,0,2,2,2,1,3,2.0,514.0,20.0,1,3
R00031,3.0,0.0,0.0,0,0,4,2,1,1,4,0.0,0.0,0.0,4,0
R00032,3.0,0.0,0.0,0,0,3,2,2,1,4,0.0,0.0,0.0,4,2
