recruitment_seq,address_seq1,address_seq2,address_seq3,career_end,career_start,education,major_task,qualifications,text_keyword,check_box_2507,check_box_2707,check_box_2810,check_box_2204,check_box_2205,check_box_2101,check_box_2108,check_box_2201,check_box_2501,check_box_2203,check_box_2109,check_box_2110,check_box_2302,check_box_2104,check_box_2105,check_box_3008,check_box_3099,check_box_2703,check_box_2299,check_box_2102,check_box_keyword_cnt,company_type_seq,supply_kind,employee,company_size,recruit_code,recruit_pop
R00001,5.0,0.0,0.0,264,14,2,2,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,5.0,201.0,631.0,2,0,11
R00002,3.0,0.0,0.0,204,55,3,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2.0,201.0,160.0,3,3,6
R00003,3.0,0.0,0.0,60,0,3,2,2,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0,4,0,7
R00004,3.0,0.0,0.0,99,0,3,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.0,402.0,500.0,2,3,15
R00005,3.0,0.0,0.0,121,93,3,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,4,3,5
R00006,3.0,0.0,0.0,75,0,4,2,2,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,0.0,0.0,4,0,4
R00007,3.0,0.0,0.0,168,41,3,2,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0,4,4,8
R00008,3.0,0.0,0.0,108,33,3,2,1,8,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,0.0,0.0,4,0,12
R00009,3.0,0.0,0.0,79,0,2,8,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.0,402.0,41.0,1,3,5
R00010,3.0,0.0,0.0,109,48,3,2,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0,4,0,4
R00011,3.0,0.0,0.0,120,0,3,7,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2.0,100.0,200.0,3,0,9
R00012,3.0,0.0,0.0,157,0,3,2,2,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2.0,402.0,500.0,2,0,19
R00013,3.0,0.0,0.0,126,36,3,2,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2.0,514.0,20.0,1,0,7
R00014,3.0,0.0,0.0,300,12,2,2,2,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0,4,4,23
R00015,3.0,0.0,0.0,14,0,4,2,2,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2.0,402.0,590.0,2,1,4
R00016,3.0,0.0,0.0,204,12,4,2,1,1,0,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,7,0.0,0.0,0.0,4,0,10
R00017,3.0,0.0,0.0,212,68,4,2,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0,4,4,9
R00018,3.0,0.0,0.0,172,0,2,2,2,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0,4,0,9
R00019,3.0,0.0,0.0,146,40,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,0.0,0.0,4,1,11
R00020,3.0,0.0,0.0,20,0,3,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.0,402.0,90.0,3,3,8
R00021,3.0,0.0,0.0,84,0,2,8,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2.0,402.0,590.0,2,0,6
R00022,3.0,0.0,0.0,36,4,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,4,3,6
R00023,3.0,0.0,0.0,72,0,3,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4.0,402.0,525.0,2,2,4
R00024,3.0,0.0,0.0,64,0,4,8,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.0,402.0,590.0,2,3,11
R00025,3.0,0.0,0.0,300,6,4,2,2,1,0,1,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,8,2.0,402.0,310.0,2,0,7
R00026,3.0,0.0,0.0,132,3,3,2,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,4.0,402.0,150.0,3,2,4
R00027,3.0,0.0,0.0,155,0,2,2,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,8,0.0,0.0,0.0,4,0,16
R00028,3.0,0.0,0.0,186,0,3,2,2,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,8,0.0,0.0,0.0,4,0,8
R00029,3.0,0.0,0.0,168,0,2,2,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,9,0.0,0.0,0.0,4,0,10
R00030,3.0,0.0,0.0,289,144,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2.0,514.0,20.0,1,3,8
R00031,3.0,0.0,0.0,164,36,4,2,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0,4,0,7
R00032,3.0,0.0,0.0,116,15,3,2,2,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,4,0.0,0.0,0.0,4,2,7
R00033,3.0,0.0,0.0,113,36,2,2,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4,2.0,514.0,20.0,1,2,5
R00034,3.0,0.0,0.0,144,1,2,2,2,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.0,100.0,145.0,3,3,11
R00035,3.0,0.0,0.0,189,12,4,2,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2.0,100.0,250.0,3,2,6
R00036,3.0,0.0,0.0,120,0,4,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4.0,402.0,525.0,2,2,16
R00037,3.0,0.0,0.0,147,42,3,2,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,0.0,0.0,4,0,8
R00038,3.0,0.0,0.0,234,58,3,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,4,3,8
R00039,3.0,0.0,0.0,240,41,3,2,1,8,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,0.0,0.0,4,0,14
R00040,3.0,0.0,0.0,259,96,3,2,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,2.0,100.0,145.0,3,4,13
R00041,3.0,0.0,0.0,240,43,3,2,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9.0,402.0,19.0,1,2,5
R00042,3.0,0.0,0.0,310,60,2,2,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,2.0,201.0,20.0,1,0,7
R00043,3.0,0.0,0.0,108,48,4,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,4,3,6
R00044,3.0,0.0,0.0,132,15,3,2,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,4,3,7
R00045,3.0,0.0,0.0,49,9,2,2,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,8,0.0,0.0,0.0,4,3,5
R00046,3.0,0.0,0.0,200,0,3,2,2,1,0,0,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,8,0.0,0.0,0.0,4,0,6
R00047,3.0,0.0,0.0,180,0,2,2,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0,4,4,9
R00048,3.0,0.0,0.0,94,32,3,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,4,3,5
R00049,3.0,0.0,0.0,192,0,3,2,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0,4,0,10
R00050,3.0,0.0,0.0,164,13,4,2,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0,4,1,9
R00051,3.0,0.0,0.0,135,0,4,2,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2.0,402.0,260.0,3,0,7
R00052,3.0,0.0,0.0,219,0,4,2,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,4,2,10
R00053,3.0,0.0,0.0,125,53,4,2,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,6,2.0,402.0,41.0,1,2,7
R00054,3.0,0.0,0.0,192,150,4,2,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,9,0.0,0.0,0.0,4,0,7
R00055,3.0,0.0,0.0,108,19,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,4,3,5
R00056,3.0,5.0,0.0,252,0,2,2,2,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2.0,100.0,270.0,3,3,61
R00057,3.0,0.0,0.0,272,12,2,2,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0,4,2,21
R00058,3.0,0.0,0.0,60,17,4,2,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0,4,0,4
R00059,3.0,0.0,0.0,311,40,2,2,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,0.0,0.0,4,0,8
R00060,3.0,0.0,0.0,140,0,4,2,1,8,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,2.0,402.0,310.0,2,0,4
R00061,3.0,0.0,0.0,168,52,4,2,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0.0,0.0,0.0,4,0,6
R00062,3.0,0.0,0.0,252,87,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.0,402.0,5.0,1,3,6
R00063,3.0,0.0,0.0,219,6,4,2,2,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0,4,4,5
R00064,3.0,0.0,0.0,84,0,2,7,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,4,3,9
R00065,3.0,0.0,0.0,111,36,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,4,2,6
R00066,3.0,0.0,0.0,175,0,2,2,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,3.0,502.0,200.0,3,2,11
R00067,3.0,0.0,0.0,164,6,4,2,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,6,0.0,0.0,0.0,4,0,6
R00068,3.0,0.0,0.0,55,0,4,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,4,3,7
R00069,3.0,0.0,0.0,176,36,3,2,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,0.0,0.0,4,0,6
R00070,3.0,0.0,0.0,79,0,4,8,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5.0,402.0,300.0,3,3,10
R00071,3.0,0.0,0.0,68,0,3,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4.0,201.0,50.0,1,3,6
R00072,3.0,0.0,0.0,236,20,3,2,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0,4,4,18
R00073,3.0,0.0,0.0,98,0,3,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,4,3,10
