resume_seq,reg_date,updated_date,degree,graduate_date,hope_salary,last_salary,job_code_seq1,career_job_code,hischool_type_seq,hischool_special_type,hischool_nation,hischool_gender,hischool_location_seq,univ_type_seq1,univ_type_seq2,univ_transfer,univ_location,univ_major_type,univ_score,language,score,job,certificate_cnt,career
U00001,19,1,4,1,1.0,1.0,7,4,21,1,0,3,4,5,5,0,17,9,4,5,3,5,0,6
U00002,20,3,4,1,0.0,0.0,7,1,0,0,1,0,0,5,5,0,3,8,1,5,3,5,1,4
U00003,18,6,4,1,0.0,0.0,7,4,21,1,0,1,6,5,5,0,17,4,1,5,3,5,3,5
U00004,17,3,4,1,0.0,0.0,7,4,21,1,0,1,5,5,5,0,5,3,3,0,1,0,3,6
U00005,20,3,4,1,0.0,0.0,7,4,21,1,0,3,5,0,0,0,0,10,4,0,0,4,0,6
U00006,17,9,3,0,3.0,3.0,7,4,0,0,1,0,0,5,5,0,17,18,4,5,3,7,3,4
U00007,20,8,4,0,1.0,1.0,7,0,0,0,1,0,0,3,6,0,3,19,4,5,3,3,8,6
U00008,14,1,4,1,4.0,3.0,7,4,21,1,0,1,5,5,5,0,10,0,3,5,3,0,1,2
U00009,20,3,4,1,0.0,2.0,4,4,21,1,2,3,13,5,5,0,13,19,2,5,3,8,3,2
U00010,20,7,4,2,4.0,4.0,7,4,0,0,1,0,0,5,5,0,5,3,3,5,3,7,2,0
U00011,16,7,4,2,0.0,6.0,7,4,21,2,2,2,10,5,5,0,10,16,3,5,3,10,0,1
U00012,14,6,4,1,0.0,4.0,7,4,0,0,1,0,5,0,0,0,0,23,3,5,3,5,5,4
U00013,19,0,4,1,3.0,2.0,7,0,2,4,0,1,4,5,5,0,17,9,2,5,3,5,2,2
U00014,20,11,4,0,2.0,2.0,7,4,20,3,0,1,18,5,5,0,10,4,2,5,3,5,4,6
U00015,20,3,4,1,1.0,1.0,7,4,21,1,0,1,5,5,5,0,3,9,4,5,3,0,3,6
U00016,20,10,4,1,1.0,0.0,7,4,0,0,1,0,0,5,5,0,6,5,4,5,3,1,1,6
U00017,8,8,4,1,6.0,5.0,7,4,21,1,0,2,5,5,5,0,3,4,3,5,3,0,3,5
U00018,8,5,4,1,7.0,6.0,7,4,21,1,2,2,3,5,5,0,5,3,3,5,3,10,4,5
U00019,20,4,4,1,4.0,3.0,7,4,21,1,2,3,3,0,0,0,0,9,4,5,3,8,0,2
U00020,20,5,4,1,0.0,2.0,7,2,0,0,1,0,0,5,5,0,17,5,3,5,3,6,1,6
U00021,14,4,4,3,0.0,0.0,7,2,8,4,0,1,0,5,5,0,11,8,2,5,3,10,0,5
U00022,19,4,4,1,3.0,3.0,7,2,21,1,0,1,5,5,5,0,17,9,1,5,3,7,0,2
U00023,20,2,4,0,3.0,3.0,7,1,21,1,0,1,3,0,0,0,0,5,3,5,3,0,0,6
U00024,19,6,4,1,0.0,0.0,7,4,21,1,2,2,17,3,5,0,10,15,3,5,3,10,0,6
U00025,20,7,4,1,0.0,0.0,7,2,21,1,2,3,3,0,0,0,0,16,2,5,3,8,4,2
U00026,20,9,4,1,3.0,3.0,7,4,21,1,2,2,15,5,5,0,5,3,3,5,3,7,0,2
U00027,17,3,4,0,0.0,0.0,7,1,21,1,0,1,3,5,5,0,15,9,3,5,3,0,2,6
U00028,17,5,4,1,0.0,0.0,7,3,19,3,0,1,17,5,5,0,3,9,2,5,3,5,0,6
U00029,16,2,4,1,0.0,4.0,7,4,21,1,2,3,17,5,10,0,5,9,4,5,3,5,0,4
U00030,20,9,4,1,2.0,0.0,7,1,21,1,2,3,3,5,5,0,3,9,2,5,3,5,1,2
U00031,19,0,4,0,0.0,0.0,7,2,21,1,0,1,5,5,5,0,17,9,3,5,3,0,1,6
U00032,17,2,4,1,0.0,3.0,7,4,21,1,2,3,3,5,5,0,3,9,3,5,3,0,1,2
U00033,19,5,4,1,0.0,0.0,7,1,21,1,0,3,12,5,5,0,5,19,2,5,3,0,5,6
U00034,20,1,4,0,3.0,3.0,7,4,0,0,1,0,0,0,0,0,0,9,2,5,3,5,2,6
U00035,19,2,4,0,1.0,1.0,7,4,21,1,0,3,11,5,5,0,11,9,1,5,3,5,0,6
U00036,13,3,4,1,3.0,3.0,7,4,21,1,2,1,4,5,5,0,18,9,2,5,3,9,1,4
U00037,13,6,4,1,0.0,2.0,7,4,21,1,0,1,5,5,5,0,3,0,2,5,3,10,0,2
U00038,12,4,4,0,0.0,0.0,7,2,21,1,0,2,13,5,5,0,17,9,2,5,3,0,5,4
U00039,18,3,4,1,0.0,1.0,4,3,21,1,0,3,10,3,5,0,10,19,3,0,0,0,2,6
U00040,20,0,3,0,0.0,0.0,7,4,21,2,2,2,3,3,6,0,3,8,4,5,3,5,1,6
U00041,11,4,4,2,0.0,6.0,7,4,21,2,2,2,10,3,5,0,10,10,2,5,3,9,1,5
U00042,17,3,4,1,0.0,0.0,7,5,21,1,2,3,15,5,5,0,15,4,2,5,3,0,4,4
U00043,20,2,4,1,0.0,2.0,7,4,21,1,0,1,5,0,0,0,0,9,3,5,3,10,1,6
U00044,17,3,4,1,4.0,3.0,7,4,21,1,2,3,11,5,5,0,11,19,4,5,3,9,0,5
U00045,18,3,2,0,0.0,0.0,7,3,21,1,0,1,3,5,5,0,3,9,4,5,3,5,0,6
U00046,10,2,4,2,4.0,4.0,2,2,0,0,1,0,0,5,5,0,3,3,3,5,3,1,1,5
U00047,20,7,4,1,3.0,4.0,2,2,21,1,0,1,3,5,5,0,5,3,3,5,3,9,0,2
U00048,16,3,4,2,0.0,3.0,7,4,21,1,2,3,18,5,5,0,10,4,4,5,3,0,1,4
U00049,18,3,2,0,0.0,0.0,7,4,21,1,0,1,12,5,5,0,12,19,3,5,3,0,5,6
U00050,12,8,4,1,2.0,2.0,7,1,0,0,1,0,18,0,0,0,0,9,1,5,3,9,1,2
U00051,18,11,4,2,0.0,4.0,7,1,21,2,0,2,6,3,5,0,6,8,2,5,3,9,2,5
U00052,14,7,4,1,0.0,0.0,7,5,0,0,1,0,13,5,10,0,5,9,4,5,3,0,4,2
U00053,17,9,4,0,0.0,3.0,7,4,21,1,2,3,5,0,0,0,0,4,2,5,3,10,4,2
U00054,16,10,3,1,0.0,3.0,7,2,21,1,2,3,3,0,0,0,0,4,3,0,0,0,1,4
U00055,13,1,4,3,3.0,3.0,2,1,8,4,2,2,3,3,5,0,3,6,4,5,3,9,2,0
U00056,16,4,4,1,2.0,2.0,7,4,21,1,0,1,7,3,5,0,7,19,2,5,3,5,1,2
U00057,19,10,4,3,0.0,4.0,7,4,21,1,2,2,3,5,5,0,5,17,2,5,3,5,1,5
U00058,19,9,3,0,0.0,2.0,7,4,21,1,0,3,13,5,7,0,3,9,4,5,3,5,0,6
U00059,16,2,4,1,3.0,2.0,7,4,21,1,2,3,3,5,5,0,3,9,1,5,3,7,2,4
U00060,19,1,4,1,0.0,2.0,7,3,0,0,1,0,0,5,5,0,15,20,1,5,3,1,1,2
U00061,20,9,4,1,3.0,3.0,7,2,21,1,0,1,5,5,5,0,5,3,2,5,3,7,1,2
U00062,19,1,4,2,0.0,0.0,7,4,21,1,0,1,3,5,5,0,17,13,3,5,3,7,2,0
U00063,16,6,4,1,2.0,2.0,2,1,21,1,2,1,5,5,5,0,3,9,2,5,3,4,4,6
U00064,16,0,4,2,0.0,7.0,7,4,21,1,2,3,13,5,5,0,3,5,1,5,3,5,0,0
U00065,19,8,5,1,0.0,2.0,7,5,21,1,2,3,0,5,5,0,8,0,2,5,3,3,3,6
U00066,20,2,4,1,2.0,1.0,4,3,21,1,0,1,18,3,5,0,7,9,2,5,3,5,0,6
U00067,19,1,4,1,0.0,0.0,7,4,21,1,2,3,3,5,5,0,5,9,2,0,2,0,3,6
U00068,19,5,4,0,4.0,5.0,7,4,21,1,0,1,3,5,10,0,3,9,3,5,3,5,0,4
U00069,19,3,4,0,0.0,0.0,7,3,21,1,2,3,3,5,5,0,3,9,1,0,0,5,0,6
U00070,19,2,4,1,0.0,0.0,7,4,21,1,2,3,9,0,0,0,0,9,3,5,3,0,0,6
U00071,17,10,4,1,0.0,2.0,7,4,21,1,2,3,3,5,5,0,5,9,2,5,3,5,1,2
U00072,20,5,4,1,0.0,0.0,7,4,21,1,0,1,5,5,5,0,3,4,2,5,3,5,0,2
U00073,16,5,4,1,3.0,3.0,7,4,0,0,1,0,0,5,5,0,17,3,2,5,3,10,0,4
U00074,20,9,4,1,0.0,3.0,7,5,8,4,2,2,3,5,5,0,3,4,3,5,3,7,1,6
U00075,19,2,4,1,2.0,2.0,7,3,0,0,1,0,0,5,5,0,10,9,1,5,3,5,1,6
U00076,20,9,4,0,2.0,2.0,7,4,21,1,2,2,10,3,5,0,18,9,3,5,3,0,0,6
U00077,18,2,4,1,0.0,1.0,7,4,21,1,0,1,11,0,0,0,0,9,2,5,3,5,0,6
U00078,20,10,4,0,2.0,2.0,7,4,19,3,0,1,8,5,5,0,8,9,4,5,3,5,0,6
