resume_seq,reg_date,updated_date,degree,graduate_date,hope_salary,last_salary,job_code_seq1,career_month,career_job_code,hischool_type_seq,hischool_special_type,hischool_nation,hischool_gender,hischool_location_seq,univ_type_seq1,univ_type_seq2,univ_transfer,univ_location,univ_major_type,univ_score,language,score,job,certificate_cnt,career,num_ng,user_preferred_location,task1,task2,task3,task4,task5,task6,task7
U00001,19,1,4,1,1.0,1.0,7,0,4,21,1,0,3,4,5,5,0,17,9,4,0.0,0.0,5,0,신입,4,3.0,0,2,0,2,0,0,0
U00002,20,3,4,1,0.0,0.0,7,73,1,0,0,1,0,0,5,5,0,3,8,1,0.0,0.0,5,1,4~6년,8,3.0,0,8,0,0,0,0,0
U00003,18,6,4,1,0.0,0.0,7,113,4,21,1,0,1,6,5,5,0,17,4,1,0.0,0.0,5,3,7~9년,3,3.0,0,3,0,0,0,0,0
U00004,17,3,4,1,0.0,0.0,7,27,4,21,1,0,1,5,5,5,0,5,3,3,2.0,2.0,0,3,신입,17,3.0,0,16,0,0,1,0,0
U00005,20,3,4,1,0.0,0.0,7,0,4,21,1,0,3,5,0,0,0,0,10,4,2.0,1.0,4,0,신입,3,3.0,0,3,0,0,0,0,0
U00006,17,9,3,0,3.0,3.0,7,99,4,0,0,1,0,0,5,5,0,17,18,4,0.0,0.0,7,3,4~6년,34,3.0,0,34,0,0,0,0,0
U00007,20,8,4,0,1.0,1.0,7,12,0,0,0,1,0,0,3,6,0,3,19,4,0.0,0.0,3,8,신입,3,3.0,0,3,0,0,0,0,0
U00008,14,1,4,1,4.0,3.0,7,55,4,21,1,0,1,5,5,5,0,10,0,3,0.0,0.0,0,1,1~3년,36,3.0,0,36,0,0,0,0,0
U00009,20,3,4,1,0.0,2.0,4,40,4,21,1,2,3,13,5,5,0,13,19,2,0.0,0.0,8,3,1~3년,2,3.0,0,2,0,0,0,0,0
U00010,20,7,4,2,4.0,4.0,7,185,4,0,0,1,0,0,5,5,0,5,3,3,0.0,0.0,7,2,10~15년,6,3.0,0,4,0,2,0,0,0
U00011,16,7,4,2,0.0,6.0,7,251,4,21,2,2,2,10,5,5,0,10,16,3,0.0,0.0,10,0,16년~20년,6,3.0,0,6,0,0,0,0,0
