resume_seq,recruitment_seq
U00001,R03633
U00001,R06282
U00001,R04516
U00001,R05018
U00001,R05946
U00002,R06631
U00002,R00143
U00002,R05495
U00002,R06208
U00002,R05924
U00003,R01641
U00003,R06259
U00003,R02128
U00003,R05698
U00003,R06218
U00004,R03665
U00004,R04975
U00004,R06673
U00004,R00059
U00004,R04890
U00005,R03633
U00005,R06282
U00005,R04516
U00005,R05018
U00005,R05946
U00006,R04604
U00006,R03493
U00006,R01231
U00006,R00567
U00006,R03462
U00007,R04852
U00007,R00073
U00007,R05013
U00007,R04047
U00007,R00785
U00008,R01796
U00008,R05291
U00008,R05687
U00008,R03781
U00008,R03686
U00009,R06446
U00009,R05066
U00009,R01996
U00009,R00003
U00009,R06317
U00010,R05487
U00010,R06642
U00010,R02256
U00010,R00263
U00010,R02682
U00011,R06575
U00011,R05029
U00011,R01680
U00011,R02545
U00011,R05396
U00012,R02824
U00012,R04627
U00012,R06631
U00012,R01902
U00012,R03616
U00013,R03135
U00013,R05971
U00013,R05467
U00013,R03486
U00013,R01919
U00014,R03057
U00014,R04773
U00014,R00433
U00014,R01267
U00014,R02580
U00015,R00246
U00015,R02774
U00015,R02536
U00015,R06410
U00015,R02826
U00016,R02469
U00016,R03352
U00016,R01885
U00016,R06559
U00016,R05378
U00017,R02077
U00017,R06456
U00017,R02893
U00017,R01214
U00017,R04586
U00018,R00820
U00018,R05410
U00018,R04299
U00018,R02305
U00018,R00004
U00019,R03633
U00019,R06282
U00019,R04516
U00019,R05018
U00019,R05946
U00020,R06440
U00020,R04915
U00020,R02610
U00020,R05463
U00020,R01288
U00021,R03633
U00021,R06282
U00021,R04516
U00021,R05018
U00021,R05946
U00022,R03633
U00022,R06282
U00022,R04516
U00022,R05018
U00022,R05946
U00023,R00784
U00023,R00226
U00023,R03722
U00023,R03264
U00023,R03493
U00024,R03633
U00024,R06282
U00024,R04516
U00024,R05018
U00024,R05946
U00025,R05054
U00025,R01079
U00025,R03459
U00025,R05559
U00025,R03349
U00026,R01278
U00026,R05664
U00026,R01615
U00026,R03201
U00026,R03190
U00027,R01452
U00027,R02432
U00027,R01574
U00027,R03213
U00027,R04612
U00028,R00663
U00028,R05678
U00028,R02075
U00028,R01780
U00028,R03221
U00029,R03633
U00029,R06282
U00029,R04516
U00029,R05018
U00029,R05946
U00030,R03471
U00030,R05257
U00030,R04184
U00030,R02556
U00030,R05091
U00031,R03947
U00031,R04976
U00031,R01392
U00031,R00354
U00031,R04027
U00032,R06325
U00032,R03716
U00032,R02269
U00032,R00432
U00032,R03026
U00033,R02908
U00033,R04667
U00033,R03375
U00033,R03943
U00033,R03265
U00034,R01783
U00034,R05768
U00034,R05910
U00034,R03204
U00034,R01837
U00035,R03633
U00035,R06282
U00035,R04516
U00035,R05018
U00035,R05946
U00036,R05778
U00036,R03220
U00036,R05426
U00036,R03590
U00036,R00922
U00037,R06575
U00037,R05029
U00037,R01680
U00037,R02545
U00037,R05396
U00038,R04608
U00038,R02404
U00038,R02553
U00038,R04633
U00038,R05774
U00039,R04553
U00039,R04113
U00039,R03435
U00039,R01082
U00039,R03881
U00040,R05538
U00040,R05513
U00040,R06096
U00040,R03492
U00040,R03342
U00041,R05365
U00041,R04452
U00041,R02670
U00041,R06489
U00041,R05119
U00042,R02228
U00042,R01261
U00042,R02954
U00042,R02105
U00042,R01655
U00043,R00581
U00043,R04306
U00043,R01815
U00043,R00815
U00043,R01479
U00044,R00784
U00044,R00226
U00044,R03722
U00044,R03264
U00044,R03493
U00045,R06282
U00045,R04516
U00045,R05018
U00045,R02516
U00045,R01465
U00046,R01796
U00046,R05291
U00046,R05687
U00046,R03781
U00046,R03686
U00047,R03633
U00047,R06282
U00047,R04516
U00047,R05018
U00047,R05946
U00048,R03182
U00048,R06622
U00048,R00677
U00048,R03594
U00048,R00914
U00049,R00804
U00049,R01378
U00049,R01267
U00049,R02128
U00049,R01599
U00050,R05538
U00050,R05513
U00050,R02494
U00050,R06096
U00050,R03492
U00051,R06294
U00051,R05800
U00051,R05988
U00051,R01545
U00051,R00925
U00052,R03791
U00052,R06012
U00052,R01084
U00052,R04514
U00052,R04069
U00053,R01783
U00053,R05768
U00053,R05850
U00053,R02222
U00053,R03292
U00054,R00216
U00054,R05008
U00054,R00178
U00054,R01002
U00054,R00018
U00055,R04353
U00055,R04300
U00055,R06352
U00055,R00091
U00055,R05638
U00056,R05365
U00056,R04452
U00056,R02670
U00056,R06489
U00056,R05119
U00057,R05365
U00057,R04452
U00057,R02670
U00057,R06489
U00057,R05119
U00058,R03633
U00058,R06282
U00058,R04516
U00058,R05018
U00058,R05946
U00059,R04548
U00059,R01334
U00059,R06662
U00059,R06580
U00059,R01692
U00060,R01309
U00060,R06005
U00060,R02077
U00060,R06456
U00060,R02893
U00061,R06325
U00061,R03716
U00061,R02269
U00061,R00432
U00061,R03026
U00062,R04541
U00062,R06016
U00062,R01430
U00062,R01280
U00062,R01852
U00063,R03577
U00063,R00175
U00063,R06536
U00063,R05804
U00063,R04282
U00064,R03633
U00064,R06282
U00064,R04516
U00064,R05018
U00064,R05946
U00065,R06214
U00065,R03005
U00065,R03609
U00065,R03446
U00065,R03584
U00066,R03633
U00066,R06282
U00066,R04516
U00066,R05018
U00066,R05946
U00067,R02412
U00067,R00215
U00067,R02180
U00067,R05086
U00067,R02257
U00068,R03633
U00068,R06282
U00068,R04516
U00068,R05018
U00068,R05946
U00069,R03633
U00069,R06282
U00069,R04516
U00069,R05018
U00069,R05946
U00070,R03633
U00070,R06282
U00070,R04516
U00070,R05018
U00070,R05946
U00071,R03703
U00071,R00929
U00071,R05227
U00071,R04532
U00071,R02504
U00072,R04057
U00072,R04708
U00072,R03956
U00072,R05337
U00072,R03731
U00073,R03633
U00073,R06282
U00073,R04516
U00073,R05018
U00073,R05946
U00074,R05538
U00074,R05513
U00074,R02494
U00074,R06096
U00074,R00236
U00075,R02469
U00075,R03352
U00075,R01885
U00075,R06559
U00075,R05378
U00076,R03633
U00076,R06282
U00076,R04516
U00076,R05018
U00076,R05946
U00077,R03633
U00077,R06282
U00077,R04516
U00077,R05018
U00077,R05946
U00078,R03633
U00078,R06282
U00078,R04516
U00078,R05018
U00078,R05946
U00079,R03939
U00079,R03133
U00079,R02634
U00079,R02580
U00079,R05865
U00080,R03132
U00080,R02234
U00080,R01214
U00080,R01071
U00080,R04866
U00081,R06210
U00081,R02770
U00081,R01657
U00081,R02659
U00081,R06075
U00082,R03974
U00082,R04830
U00082,R04345
U00082,R00797
U00082,R04951
U00083,R03934
U00083,R03748
U00083,R04326
U00083,R01005
U00083,R02017
U00084,R03057
U00084,R03626
U00084,R05771
U00084,R01384
U00084,R03269
U00085,R03633
U00085,R06282
U00085,R04516
U00085,R05018
U00085,R05946
U00086,R03633
U00086,R06282
U00086,R04516
U00086,R05018
U00086,R05946
U00087,R02991
U00087,R06152
U00087,R05595
U00087,R06294
U00087,R00663
U00088,R03633
U00088,R06282
U00088,R04516
U00088,R05018
U00088,R05946
U00089,R02837
U00089,R04099
U00089,R04710
U00089,R00567
U00089,R06290
U00090,R00784
U00090,R00226
U00090,R03722
U00090,R03264
U00090,R03493
U00091,R05151
U00091,R05891
U00091,R01994
U00091,R02966
U00091,R04856
U00092,R01205
U00092,R00652
U00092,R03720
U00092,R05742
U00092,R03369
U00093,R03146
U00093,R02561
U00093,R05225
U00093,R03075
U00093,R04262
U00094,R05954
U00094,R05165
U00094,R01940
U00094,R05848
U00094,R01424
U00095,R00784
U00095,R00226
U00095,R03722
U00095,R03264
U00095,R03493
U00096,R01832
U00096,R04799
U00096,R06537
U00096,R05112
U00096,R06463
U00097,R02023
U00097,R03519
U00097,R01571
U00097,R04858
U00097,R00954
U00098,R03078
U00098,R02632
U00098,R02794
U00098,R00121
U00098,R03367
U00099,R00781
U00099,R04353
U00099,R04857
U00099,R06536
U00099,R03967
U00100,R04057
U00100,R04708
U00100,R03956
U00100,R05337
U00100,R03731
U00101,R03340
U00101,R05462
U00101,R02632
U00101,R02586
U00101,R01229
U00102,R01796
U00102,R05291
U00102,R05687
U00102,R03781
U00102,R03686
U00103,R03633
U00103,R06282
U00103,R01426
U00103,R00315
U00103,R06303
U00104,R03906
U00104,R05818
U00104,R00237
U00104,R05897
U00104,R01737
U00105,R03694
U00105,R05806
U00105,R06214
U00105,R04100
U00105,R01351
U00106,R03078
U00106,R02632
U00106,R02794
U00106,R00121
U00106,R06521
U00107,R03952
U00107,R00197
U00107,R06586
U00107,R02411
U00107,R01219
U00108,R06575
U00108,R05029
U00108,R01680
U00108,R02545
U00108,R05396
U00109,R05880
U00109,R03735
U00109,R00933
U00109,R03537
U00109,R01180
U00110,R02071
U00110,R01611
U00110,R00599
U00110,R06013
U00110,R00253
U00111,R03633
U00111,R06282
U00111,R01426
U00111,R00315
U00111,R06303
U00112,R03471
U00112,R05257
U00112,R04184
U00112,R02556
U00112,R05091
U00113,R05365
U00113,R04452
U00113,R02670
U00113,R06489
U00113,R05119
U00114,R04981
U00114,R00857
U00114,R02345
U00114,R02071
U00114,R06482
U00115,R04709
U00115,R01160
U00115,R03471
U00115,R05257
U00115,R04184
U00116,R05055
U00116,R00225
U00116,R01783
U00116,R05768
U00116,R04303
U00117,R02264
U00117,R03872
U00117,R05714
U00117,R00259
U00117,R01422
U00118,R04047
U00118,R05154
U00118,R05540
U00118,R05131
U00118,R06521
U00119,R00299
U00119,R05932
U00119,R02264
U00119,R03037
U00119,R03023
U00120,R02019
U00120,R03760
U00120,R01686
U00120,R03790
U00120,R05882
U00121,R00781
U00121,R04353
U00121,R04857
U00121,R06536
U00121,R03967
U00122,R00780
U00122,R05317
U00122,R06302
U00122,R03921
U00122,R05714
U00123,R03633
U00123,R06282
U00123,R04516
U00123,R05018
U00123,R05946
U00124,R00663
U00124,R05678
U00124,R02075
U00124,R01780
U00124,R03221
U00125,R03633
U00125,R06282
U00125,R04516
U00125,R05018
U00125,R05946
U00126,R05257
U00126,R04184
U00126,R02556
U00126,R05091
U00126,R03272
U00127,R03727
U00127,R05669
U00127,R01919
U00127,R00028
U00127,R01214
U00128,R03232
U00128,R01403
U00128,R06427
U00128,R04021
U00128,R00760
U00129,R03633
U00129,R06282
U00129,R04516
U00129,R05018
U00129,R05946
U00130,R05922
U00130,R02636
U00130,R03880
U00130,R01237
U00130,R04657
U00131,R03633
U00131,R06282
U00131,R04516
U00131,R05018
U00131,R05946
U00132,R03727
U00132,R05669
U00132,R01919
U00132,R00028
U00132,R01214
U00133,R01969
U00133,R03497
U00133,R03237
U00133,R05800
U00133,R05001
U00134,R03633
U00134,R06282
U00134,R04516
U00134,R05018
U00134,R05946
U00135,R06407
U00135,R05688
U00135,R03056
U00135,R00995
U00135,R03581
U00136,R05424
U00136,R02874
U00136,R01665
U00136,R01669
U00136,R03679
U00137,R05538
U00137,R05513
U00137,R02494
U00137,R06096
U00137,R00236
U00138,R02826
U00138,R01758
U00138,R01352
U00138,R05031
U00138,R05559
U00139,R06022
U00139,R05991
U00139,R02991
U00139,R00944
U00139,R01309
U00140,R00852
U00140,R06596
U00140,R02311
U00140,R03358
U00140,R00390
U00141,R05365
U00141,R04452
U00141,R02670
U00141,R06489
U00141,R05119
U00142,R03744
U00142,R01260
U00142,R04212
U00142,R06427
U00142,R05773
U00143,R05741
